Weight budget, Fraction width, Average LL, Accuracy, KL-Divergence
130, 2, -49.7852832285863, 1.0, 0.3088648988264834
130, 3, -49.67667596106068, 1.0, 0.23621448668691172
130, 4, -49.63824521617424, 1.0, 0.16902230999870743
130, 5, -49.62368470867843, 1.0, 0.16005861266897078
140, 1, -50.205394374453675, 1.0, 0.7964768487579237
140, 2, -49.67947169827883, 1.0, 0.22621247763221075
140, 3, -49.57563489540171, 1.0, 0.125965067459986
140, 4, -49.538255077182136, 1.0, 0.08680384330068246
140, 5, -49.523767254440266, 1.0, 0.08224134046572193
150, 1, -50.207146544269534, 1.0, 0.7941683813299241
150, 2, -49.650498434015866, 1.0, 0.22159681390130154
150, 3, -49.56176684230863, 1.0, 0.14120108112813357
150, 4, -49.528231529682635, 1.0, 0.1103111903879493
150, 5, -49.512206357857494, 1.0, 0.08913704870513989
160, 1, -50.21712984346647, 1.0, 0.8053395556312966
160, 2, -49.659151925604945, 1.0, 0.23151739001739374
160, 3, -49.571594632702265, 1.0, 0.1522167466262121
160, 4, -49.53809233132443, 1.0, 0.12357045722547637
160, 5, -49.522123640969056, 1.0, 0.10024220692113164
170, 1, -50.22712984270825, 1.0, 0.8165274299775096
170, 2, -49.66915181307488, 1.0, 0.24270515259176922
170, 3, -49.581594624883294, 1.0, 0.16340461391166955
170, 4, -49.548092324130614, 1.0, 0.13475832513610475
170, 5, -49.53212363721356, 1.0, 0.1114300782700701
180, 1, -50.237129842708214, 1.0, 0.8277153050819097
180, 2, -49.67915181306977, 1.0, 0.25389302769109506
180, 3, -49.591594624882944, 1.0, 0.17459248901574925
180, 4, -49.558092324130286, 1.0, 0.14594620024021288
180, 5, -49.54212363721339, 1.0, 0.12261795337433434
190, 1, -50.24712984270821, 1.0, 0.8389031801863445
190, 2, -49.68915181306977, 1.0, 0.26508090279552965
190, 3, -49.60159462488294, 1.0, 0.185780364120184
190, 4, -49.56809232413029, 1.0, 0.15713407534464766
190, 5, -49.55212363721339, 1.0, 0.13380582847876912
200, 1, -50.25712984270822, 1.0, 0.8500910552907792
200, 2, -49.699151813069776, 1.0, 0.2762687778999644
200, 3, -49.61159462488294, 1.0, 0.1969682392246188
200, 4, -49.57809232413029, 1.0, 0.1683219504490824
200, 5, -49.562123637213396, 1.0, 0.14499370358320388
210, 1, -50.267129842708215, 1.0, 0.861278930395214
210, 2, -49.709151813069774, 1.0, 0.28745665300439915
210, 3, -49.621594624882945, 1.0, 0.20815611432905357
210, 4, -49.58809232413029, 1.0, 0.17950982555351716
210, 5, -49.572123637213394, 1.0, 0.1561815786876386
220, 1, -50.27712984270821, 0.999, 0.8724668054996487
220, 2, -49.71915181306977, 1.0, 0.298644528108834
220, 3, -49.63159462488294, 1.0, 0.21934398943348826
220, 4, -49.598092324130285, 1.0, 0.1906977006579519
220, 5, -49.58212363721339, 1.0, 0.16736945379207335
230, 1, -50.28712984270822, 0.998, 0.8836546806040835
230, 2, -49.72915181306978, 0.998, 0.30983240321326866
230, 3, -49.64159462488294, 0.998, 0.23053186453792301
230, 4, -49.60809232413029, 0.998, 0.20188557576238667
230, 5, -49.59212363721339, 0.998, 0.17855732889650816
240, 1, -50.297129842708216, 0.998, 0.8948425557085182
240, 2, -49.739151813069775, 0.998, 0.3210202783177033
240, 3, -49.65159462488294, 0.998, 0.24171973964235777
240, 4, -49.61809232413029, 0.998, 0.21307345086682142
240, 5, -49.602123637213396, 0.998, 0.1897452040009429
250, 1, -50.307129842708214, 0.998, 0.906030430812953
250, 2, -49.74915181306977, 0.998, 0.33220815342213805
250, 3, -49.661594624882945, 0.998, 0.25290761474679246
250, 4, -49.628092324130286, 0.998, 0.22426132597125617
250, 5, -49.612123637213394, 0.998, 0.20093307910537767
260, 1, -50.31712984270821, 0.998, 0.9172183059173877
260, 2, -49.75915181306977, 0.998, 0.3433960285265728
260, 3, -49.67159462488294, 0.998, 0.2640954898512272
260, 4, -49.63809232413029, 0.998, 0.23544920107569092
260, 5, -49.62212363721339, 0.998, 0.21212095420981242
270, 1, -50.32712984270822, 0.998, 0.9284061810218225
270, 2, -49.769151813069776, 0.998, 0.35458390363100756
270, 3, -49.68159462488294, 0.998, 0.27528336495566197
270, 4, -49.64809232413029, 0.998, 0.24663707618012576
270, 5, -49.6321236372134, 0.998, 0.22330882931424717
280, 1, -50.337129842708215, 0.998, 0.9395940561262572
280, 2, -49.779151813069774, 0.998, 0.3657717787354423
280, 3, -49.691594624882946, 0.998, 0.28647124006009667
280, 4, -49.65809232413029, 0.998, 0.2578249512845605
280, 5, -49.642123637213395, 0.998, 0.23449670441868192
290, 1, -50.34712984270821, 0.998, 0.950781931230692
290, 2, -49.78915181306977, 0.998, 0.37695965383987706
290, 3, -49.701594624882944, 0.998, 0.2976591151645314
290, 4, -49.668092324130285, 0.998, 0.2690128263889952
290, 5, -49.65212363721339, 0.998, 0.24568457952311665
300, 1, -50.35712984270821, 0.998, 0.9619698063351267
300, 2, -49.79915181306977, 0.998, 0.3881475289443118
300, 3, -49.71159462488294, 0.998, 0.3088469902689663
300, 4, -49.67809232413029, 0.998, 0.28020070149342985
300, 5, -49.66212363721339, 0.998, 0.25687245462755137
